Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n28,1931,0.7335333333333331,2.046,14,1,15,0.36666666666666664
n28,1936,0.6611666666666665,2.046,9,3,12,0.4666666666666667
n28,1941,0.650033333333333,2.046,4,12,16,0.5
n28,1946,0.6694999999999998,2.046,0,7,7,0.5
n28,1951,0.645733333333333,2.046,21,2,23,0.5
n28,1956,0.6610666666666665,2.046,16,0,16,0.4666666666666667
n28,1961,0.4813999999999996,1.717,13,0,13,0.43333333333333335
n28,1966,0.47706666666666675,1.612,24,0,24,0.4666666666666667
n28,1971,0.4624666666666666,1.524,19,0,19,0.43333333333333335
n28,1976,0.48803333333333354,1.524,14,0,14,0.43333333333333335
n28,1981,0.5261333333333332,1.524,9,0,9,0.4
n28,1986,0.41183333333333316,1.331,4,0,4,0.5
n28,1991,0.4105,1.352,10,1,11,0.43333333333333335
n28,1996,0.44530000000000003,1.352,5,0,5,0.4666666666666667
