stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
316,0.809,0.026,0,-0.047,-0.182,0,1.512,-0.73,0.028,-0.083,-0.225,0.134,0.598,1.334,1.436,0.727,0.26,0.411,-0.148,0.104,-0.511,-0.356,-0.56,-0.552,-0.244,-0.485,-0.105,0.124,-0.114
317,0.802,0.097,0.059,-0.075,-0.118,0,1.491,-0.599,0.068,-0.176,-0.346,0.422,0.403,1.375,1.442,0.368,0.246,0.235,-0.201,0.093,-0.625,-0.27,-0.648,-0.569,-0.258,-0.524,-0.071,0.205,0.001
318,0.895,-0.049,-0.038,-0.082,-0.102,0,1.502,-0.464,0.057,-0.27,-0.444,0.207,0.61,1.376,1.352,0.61,0.255,0.329,-0.267,0.14,-0.64,-0.338,-0.582,-0.528,-0.234,-0.391,-0.126,0.214,-0.105
319,1.098,-0.04,0.053,-0.057,-0.193,0.204,1.461,-0.494,0,-0.113,-0.367,0.255,0.177,1.172,1.054,0.2,0.393,0.211,-0.302,0.057,-0.546,-0.359,-0.604,-0.545,-0.193,-0.435,-0.193,0.093,-0.198
320,0.945,-0.092,0.119,-0.011,-0.175,-0.001,1.813,-0.31,0.107,0,-0.296,0.372,0.706,1.279,1.221,0.386,0.601,0.492,-0.132,0.062,-0.629,-0.302,-0.606,-0.616,-0.143,-0.34,0.011,0.052,-0.106
321,0.828,0.274,-0.234,-0.035,-0.041,0.02,1.304,-0.659,0,-0.043,-0.179,0.36,0.533,1.361,1.169,0.185,0.918,0.479,-0.214,0.046,-0.596,-0.508,-0.562,-0.472,-0.104,-0.437,-0.023,0.157,-0.152
322,1.028,0.13,0.156,0.003,-0.158,0.076,1.691,-0.351,0,-0.116,-0.417,0.577,0.408,1.302,1.543,0.476,0.582,0.356,-0.083,0.079,-0.591,-0.378,-0.607,-0.535,-0.2,-0.449,0.017,0.199,-0.002
323,0.897,0.013,0.151,-0.05,-0.143,0.084,1.488,0,-0.059,-0.021,-0.372,0.724,0.225,1.145,1.125,0.365,0.862,0.32,-0.266,-0.076,-0.767,-0.471,-0.626,-0.561,-0.11,-0.394,0.026,0.101,-0.067
324,1.13,0.073,-0.009,0.039,-0.179,0.003,1.701,-0.411,0,-0.068,-0.396,0.508,0.635,1.402,1.375,0.586,0.436,0.286,-0.186,0.085,-0.668,-0.411,-0.578,-0.676,-0.195,-0.466,-0.23,0.086,-0.03
325,1.059,-0.031,0.056,-0.044,-0.173,0,1.425,-0.349,0.053,-0.092,-0.422,0.219,0.488,1.134,1.26,0.534,0.303,0.306,-0.27,0.114,-0.578,-0.446,-0.633,-0.537,-0.299,-0.521,-0.073,0.258,-0.161
326,1.294,0.072,0.107,0.235,-0.06,0,1.82,-0.194,0.066,-0.093,-0.252,0.856,0.566,1.569,1.335,0.746,0.493,0.412,-0.165,0.292,-0.565,-0.261,-0.539,-0.538,-0.23,-0.502,-0.07,0.206,0.045
327,1.104,0.176,0.01,0.178,-0.193,0.039,1.235,-0.044,0,-0.079,-0.208,0.703,0.199,1.157,0.601,0.017,0.805,0.448,-0.252,0.248,-0.416,-0.338,-0.549,-0.461,-0.271,-0.324,-0.14,-0.069,-0.234
